Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
The Best Man,1964,100,90,Drama,NR,1h 42m,https://www.rottentomatoes.com/m/1002072-best_man,https://resizing.flixster.com/2uGyUGdQEn54Om1NqyU8z-zK7RM=/206x305/v2/https://flxt.tmsimg.com/assets/p604_p_v8_aa.jpg
The Best Man,2005,NR,51,Romance,R,1h 36m,https://www.rottentomatoes.com/m/best_man_worst_friend,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Man's Best Friend,1993,21,43,Horror,R,1h 27m,https://www.rottentomatoes.com/m/mans_best_friend_1991,https://resizing.flixster.com/UZHWrelkXRniJzU7g5N-FKFvP1A=/206x305/v2/https://flxt.tmsimg.com/assets/p15219_p_v10_aa.jpg
The Best Man,1999,72,86,,NR,,https://www.rottentomatoes.com/m/1093551-best_man,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Best Man in Grass Creek,2001,NR,57,Comedy,PG,1h 28m,https://www.rottentomatoes.com/m/best_man_in_grass_creek,https://resizing.flixster.com/R8Dv5hAF_ekbNpktPKpICvAhHSM=/206x305/v2/https://flxt.tmsimg.com/assets/p72703_v_h9_aa.jpg
Stand by Me,1986,91,94,Comedy/Drama,R,1h 29m,https://www.rottentomatoes.com/m/stand_by_me_1986,https://resizing.flixster.com/Ku1v6JabPa_QtLVrUZ4rYk_O-uI=/206x305/v2/https://flxt.tmsimg.com/assets/p9417_p_v10_ay.jpg
Ninja: Silent Assassin,1987,NR,29,Action,NR,1h 25m,https://www.rottentomatoes.com/m/ninja-silent-assassin,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Ninja Assassin,2009,26,54,Sports & fitness/Action,R,1h 39m,https://www.rottentomatoes.com/m/1198524-ninja_assassin,https://resizing.flixster.com/4UgJtBqK3yLPMVzh-W4TTt6Rw5M=/206x305/v2/https://flxt.tmsimg.com/assets/p182349_p_v10_ad.jpg
"Shinobi no Mono (Ninja, a Band of Assassins) (Those That Are Unseen)",1962,NR,68,,NR,,https://www.rottentomatoes.com/m/shinobi-no-mono-ninja-a-band-of-assassins-those-that-are-unseen,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Pandas: Million Dollar Babies,2014,NR,63,Documentary,NR,40m,https://www.rottentomatoes.com/m/million-dollar-babies,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Million Dollar Baby,1941,NR,46,Comedy,NR,1h 40m,https://www.rottentomatoes.com/m/million-dollar-baby-1941,https://resizing.flixster.com/kSuH79ucmOFK_eyYFBHz670OCDU=/206x305/v2/https://flxt.tmsimg.com/assets/p1953_p_v8_aa.jpg
Million Dollar Baby,2004,90,90,Drama,PG-13,2h 12m,https://www.rottentomatoes.com/m/million_dollar_baby,https://resizing.flixster.com/OyurZfq9uD8NV8Lhl1r_zcOkDgk=/206x305/v2/https://flxt.tmsimg.com/assets/p35226_p_v10_aq.jpg
Pastor Jones: My Sister Loves You,2009,NR,NR,Comedy/Drama,NR,1h 20m,https://www.rottentomatoes.com/m/pastor_jones_my_sister_loves_you,https://resizing.flixster.com/cG1uR27tvtVo8dLUSyafwnzsaqg=/206x305/v2/https://flxt.tmsimg.com/assets/p8607591_p_v13_aa.jpg
The Young Indiana Jones Chronicles: Love's Sweet Song,1992,NR,62,Adventure,NR,1h 36m,https://www.rottentomatoes.com/m/the-adventures-of-young-indiana-jones-loves-sweet-song,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Love Jones,1997,73,97,Gay & lesbian/Romance,R,1h 48m,https://www.rottentomatoes.com/m/love_jones,https://resizing.flixster.com/6HC3n41Z_UPnIV5bgGT6tloT-vA=/206x305/v2/https://flxt.tmsimg.com/assets/p18971_v_h9_aa.jpg
I Am Sam,2001,35,86,Drama,PG-13,2h 12m,https://www.rottentomatoes.com/m/i_am_sam,https://resizing.flixster.com/-J_S79fzBP-44K0ZZnPiuW39HEw=/206x305/v2/https://flxt.tmsimg.com/assets/p29041_p_v10_aj.jpg
The Great Flip-Off,2018,NR,NR,Documentary,NR,,https://www.rottentomatoes.com/m/the_great_flip_off,https://resizing.flixster.com/d3Fc8OUEQtYcSgfes4qcNdgQbL8=/206x305/v2/https://flxt.tmsimg.com/assets/p16667223_p_v13_aa.jpg
Second Nature,2016,NR,78,Comedy/Fantasy,NR,1h 20m,https://www.rottentomatoes.com/m/the_gender_card_flip,https://resizing.flixster.com/Gk0jvbj46kCu0MDN4eOIcTeiKfU=/206x305/v2/https://resizing.flixster.com/Hpe1tCXGLpBrf_dVChjshF4h24Y=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzgxNjY1NDU3LWFjZTUtNDY5Yy05ZjhiLTdjNjliMTczNmYwMC53ZWJw
Flipped,2015,NR,NR,Mystery & thriller/Drama,NR,1h 30m,https://www.rottentomatoes.com/m/flipped_2015,https://resizing.flixster.com/_pQ742zWdqRLYAulWbxlA8aN7WQ=/206x305/v2/https://resizing.flixster.com/MYrk0BdkWjAuxjKXf1WfPg53ugc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzM5ZGI0NDVhLTNiNWEtNGViNC05YTBjLWI2Y2ZmN2M5OTZlYy53ZWJw
Fatal Flip,2015,NR,NR,Mystery & thriller,TV14,1h 25m,https://www.rottentomatoes.com/m/fatal_flip,https://resizing.flixster.com/uMBvXMRL0HzmX1-c4YRBiqoOMLw=/206x305/v2/https://flxt.tmsimg.com/assets/p11872779_p_v13_ab.jpg
Flip Side,2001,67,NR,,NR,,https://www.rottentomatoes.com/m/flip_side,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Flipping,1996,NR,NR,Crime/Drama,R,1h 49m,https://www.rottentomatoes.com/m/flipping,https://resizing.flixster.com/2MaUP_gSxq7i9FdiJGFGKnoy5YY=/206x305/v2/https://flxt.tmsimg.com/assets/p17615_p_v7_aa.jpg
Mr. Flip,1909,NR,NR,,NR,,https://www.rottentomatoes.com/m/mr-flip,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Flipping Out,2008,NR,NR,Documentary,NR,1h 24m,https://www.rottentomatoes.com/m/flipping-out,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Flip a Coin,2004,NR,NR,Comedy,NR,1h 35m,https://www.rottentomatoes.com/m/flip_a_coin,https://resizing.flixster.com/R-arQR3vUT8DMI5uWtQmGCYl8no=/206x305/v2/https://flxt.tmsimg.com/assets/p8036876_v_h9_aa.jpg
Flipped,2010,54,78,Romance,PG,1h 30m,https://www.rottentomatoes.com/m/flipped,https://resizing.flixster.com/irDMWuvcoFmvml5LgLW7d3skX5Q=/206x305/v2/https://flxt.tmsimg.com/assets/p8084155_p_v10_ab.jpg
Flip the Script,2005,NR,62,Romance,NR,1h 40m,https://www.rottentomatoes.com/m/flip_the_script,https://resizing.flixster.com/iTI7cICajjpnkSjC_N60hllsKE8=/206x305/v2/https://flxt.tmsimg.com/assets/p161376_v_h9_aa.jpg
American Outlaws,2001,14,68,Western/Action,PG-13,1h 33m,https://www.rottentomatoes.com/m/american_outlaws,https://resizing.flixster.com/IvEkBOuRyRPZtlCOIQ9aOB2ENqs=/206x305/v2/https://flxt.tmsimg.com/assets/p28142_p_v8_aa.jpg
Abduction,2019,NR,21,Action,NR,1h 34m,https://www.rottentomatoes.com/m/abduction_2019,https://resizing.flixster.com/WygfE_XTeBRPxW_BNCk7yUNbQBA=/206x305/v2/https://resizing.flixster.com/B-EEOPsG1gmwWruWIbwFLY8kMKM=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzIyZjRkMjNlLTdiMDQtNDIxMy04YzkxLTA2NTFkZmVkZTNmMC53ZWJw
Alien Abduction,2014,28,22,Sci-fi/Horror,NR,1h 26m,https://www.rottentomatoes.com/m/alien_abduction_2014,https://resizing.flixster.com/mOivdGQogMfzl_Lh4n1k1pcXO94=/206x305/v2/https://flxt.tmsimg.com/assets/p10593184_p_v10_aa.jpg
Abduction,2011,5,42,Mystery & thriller/Action,PG-13,1h 46m,https://www.rottentomatoes.com/m/abduction_2011,https://resizing.flixster.com/SVRq_bEorREMatEJNO-jedsl8a4=/206x305/v2/https://flxt.tmsimg.com/assets/p8609762_p_v8_ae.jpg
The Abduction of Zack Butterfield,2011,0,45,Crime/Mystery & thriller,NR,1h 31m,https://www.rottentomatoes.com/m/the_abduction_of_zack_butterfield_2011,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Abduction,1975,NR,NR,Crime/Drama,R,1h 40m,https://www.rottentomatoes.com/m/abduction-1991,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Abduction,2009,NR,44,Mystery & thriller,NR,1h 46m,https://www.rottentomatoes.com/m/abduction,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Abduction: The Megumi Yokota Story,2006,83,85,Documentary,NR,1h 25m,https://www.rottentomatoes.com/m/abduction_the_megumi_yokota_story,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Abduction Club,2002,40,76,Romance/History,NR,1h 35m,https://www.rottentomatoes.com/m/abduction_club,https://resizing.flixster.com/hfqTzemaYpDxamhEGaFiNH128AY=/206x305/v2/https://flxt.tmsimg.com/assets/p84346_v_h9_aa.jpg
Alien Abduction,2005,NR,35,Sci-fi/Horror,R,1h 30m,https://www.rottentomatoes.com/m/alien-abduction,https://resizing.flixster.com/zJvDIwNJM_hsmolLGmz24D1NTug=/206x305/v2/https://flxt.tmsimg.com/assets/p36552_p_v10_af.jpg
The Meddler,2020,NR,NR,Documentary,NR,1h 11m,https://www.rottentomatoes.com/m/the_meddler_2020,https://resizing.flixster.com/ijJiX9deDgF_NsGGB-SNCteMZBE=/206x305/v2/https://flxt.tmsimg.com/assets/p18631175_v_h9_aa.jpg
The Meddler,2015,85,56,Comedy/Drama,PG-13,1h 40m,https://www.rottentomatoes.com/m/the_meddler_2016,https://resizing.flixster.com/v9IUY8HLZf8Ekwxcoc2XIw8xfzs=/206x305/v2/https://resizing.flixster.com/1IpC4xEIlx1vv0r5Lsnby7i0sXs=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzUyMDBhYmZmLTRmMDYtNDhhYi04Nzg3LTViMzU2MDk0ODE3MC53ZWJw
Terminal,2018,21,36,Crime/Mystery & thriller,NR,1h 36m,https://www.rottentomatoes.com/m/terminal_2018,https://resizing.flixster.com/SkRZmDam26r_v-vULjfTZFciMlw=/206x305/v2/https://resizing.flixster.com/6UybkypGwuzxA-SunPhcvlcrDCY=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzM2NDE0YWYxLThiODYtNDgxZi1hODJmLWIyMjg5OTg4M2FiMS53ZWJw
