Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
A Girl and a Gun,2013,33,44,Documentary,NR,1h 16m,https://www.rottentomatoes.com/m/a_girl_and_a_gun_2012,https://resizing.flixster.com/Wg2BEydoUgP4LJlW3V6T7Q2whcQ=/206x305/v2/https://flxt.tmsimg.com/assets/p9995560_p_v8_aa.jpg
"Guns, Girls and Gambling",2011,NR,29,Crime/Mystery & thriller,NR,1h 30m,https://www.rottentomatoes.com/m/guns_girls_and_gambling,https://resizing.flixster.com/iORk0IWf6pvD3fPhc7EvoK1N0Ng=/206x305/v2/https://flxt.tmsimg.com/assets/p9642198_p_v8_aa.jpg
"Guns, Girls and Gangsters",1959,NR,40,Crime/Drama,NR,1h 10m,https://www.rottentomatoes.com/m/guns_girls_and_gangsters,https://resizing.flixster.com/_ybJtTsrmGEc3nfw5ji47OLviM4=/206x305/v2/https://flxt.tmsimg.com/assets/p49851_p_v8_aa.jpg
"Girl, 3 Guys, and a Gun",2000,NR,NR,,NR,,https://www.rottentomatoes.com/m/girl_3_guys_and_a_gun,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Gun Girls,1956,NR,NR,Action,NR,1h 7m,https://www.rottentomatoes.com/m/gun_girls,https://resizing.flixster.com/iYuqilc9XXJmIX6WzSp0yvifh_8=/206x305/v2/https://flxt.tmsimg.com/assets/p59293_p_v10_aa.jpg
Film Ist. a Girl & a Gun,2009,88,36,War/History,NR,1h 33m,https://www.rottentomatoes.com/m/film-ist-a-girl-a-gun,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
"A Girl, Three Guys and a Gun",2001,NR,NR,Comedy/Drama,R,1h 30m,https://www.rottentomatoes.com/m/a_girl_3_guys_and_a_gun,https://resizing.flixster.com/E6CcXrv7jNVdT_w_IdkjjtQ6Gy8=/206x305/v2/https://flxt.tmsimg.com/assets/p30557_p_v10_aa.jpg
A Girl Is a Gun,1971,NR,20,Western,NR,1h 40m,https://www.rottentomatoes.com/m/a-girl-is-a-gun,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Dancing Queen,2012,NR,59,Romance,NR,1h 59m,https://www.rottentomatoes.com/m/dancing_queen,https://resizing.flixster.com/iWpGFFHwwhGkWFLdLG4XU-k5yZI=/206x305/v2/https://flxt.tmsimg.com/assets/p9094644_p_v8_aa.jpg
Le grand pardon,1982,NR,NR,Drama,NR,2h 10m,https://www.rottentomatoes.com/m/le_grand_carnaval_2013,https://resizing.flixster.com/gkhVUmT22ao_TZT20OLByIZ7_OU=/206x305/v2/https://flxt.tmsimg.com/assets/p53144_p_v10_aa.jpg
Carnaval Atlântida,1952,NR,NR,,NR,,https://www.rottentomatoes.com/m/carnaval_atlantida,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Carnival of Sodom,2006,NR,33,Comedy,NR,1h 58m,https://www.rottentomatoes.com/m/1214061-carnaval_de_sodoma,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Acosada en Lunes de Carnaval,2002,NR,NR,Drama,NR,1h 50m,https://www.rottentomatoes.com/m/acosada_en_lunes_de_carnaval,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
2 Hearts,2020,17,87,Romance/Drama,PG-13,1h 40m,https://www.rottentomatoes.com/m/2_hearts,https://resizing.flixster.com/TXoHJYmaE5EWDvANqfq2GwnQbpY=/206x305/v2/https://resizing.flixster.com/71ITcsEcHlM14xkvc0MDjD3YYpQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzAwOTk1NTY1LTA4NTQtNDMzYS1hNDM4LWM4Mjk0NjQyZmZkYy53ZWJw
Tale of Two Hearts,1985,NR,NR,Romance/Drama,NR,2h 33m,https://www.rottentomatoes.com/m/good_witch_tale_of_two_hearts,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2017,NR,NR,Action,NR,2h 10m,https://www.rottentomatoes.com/m/hind_ka_napak_ko_jawab_msg_lion_heart_2,https://resizing.flixster.com/wG9xy02qlrDP0jvM6wyxnASBdp0=/206x305/v2/https://resizing.flixster.com/R5QVrLNPeOwVIWOe39vZcJG2B58=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzE0NzM3YWE5LTc4NjQtNGY3ZC04ODE5LTRlYWQ5ZmMxMTYyZC53ZWJw
Don't Go Breaking My Heart 2,2014,NR,31,Romance,NR,1h 53m,https://www.rottentomatoes.com/m/dont_go_breaking_my_heart_2,https://resizing.flixster.com/SnbiO9adRc1GRhT8tNFrqKPuxOg=/206x305/v2/https://flxt.tmsimg.com/assets/p11072224_p_v7_aa.jpg
"Two Fists, One Heart",2008,100,42,Drama/Action,NR,1h 45m,https://www.rottentomatoes.com/m/two-fists-one-heart,https://resizing.flixster.com/pQS3Z2tF-DlhKe6eeTL1tAiMZjA=/206x305/v2/https://resizing.flixster.com/n5GO-OOeu15tW62ySx6AP-tSgsY=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzcwNWJmNjhjLTU1OTAtNGE0Ni1iMGNkLTIxODc4YzdiZjg1MS53ZWJw
Two Hearts in Wax Time,1935,NR,NR,Musical/Fantasy,NR,15m,https://www.rottentomatoes.com/m/zwei-herzen-im-dreivierteltakt-two-hearts-in-waltz-time,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Two of Hearts,1999,NR,40,Romance,TVPG,1h 36m,https://www.rottentomatoes.com/m/two-of-hearts,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Welcome Home,2018,10,28,Mystery & thriller,R,1h 37m,https://www.rottentomatoes.com/m/welcome_home_2018,https://resizing.flixster.com/xccbg_5kbvVkdoVWc-mLwp2Bdzk=/206x305/v2/https://resizing.flixster.com/QQ6CWU3FnsjmZdVRSTTX1fvsAI0=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2QxZTQ0MTUxLWFjNTQtNDM2OC04YTEwLTk1ZWVjMmUwYWE5OC53ZWJw
Welcome Home,2015,NR,NR,Drama,TVPG,1h 30m,https://www.rottentomatoes.com/m/welcome_home_2013,https://resizing.flixster.com/4pDB1m7t2uwpZrsUDQk8-iJDEE8=/206x305/v2/https://flxt.tmsimg.com/assets/p12091000_p_v8_ab.jpg
Welkome Home,2014,NR,NR,Drama,NR,1h 56m,https://www.rottentomatoes.com/m/welkome_home,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
"Welcome Home, Johnny Bristol",1972,NR,NR,Drama,NR,1h 40m,https://www.rottentomatoes.com/m/welcome_home_johnny_bristol,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Welcome Home,2006,NR,61,Comedy,NR,1h 55m,https://www.rottentomatoes.com/m/bienvenido-a-casa-welcome-home,https://resizing.flixster.com/TacSebZcGrunZgFtYEkcvcXaeOw=/206x305/v2/https://flxt.tmsimg.com/assets/p178519_v_v10_aa.jpg
Welcome Home,1989,NR,62,Drama,R,1h 36m,https://www.rottentomatoes.com/m/1023320-welcome_home,https://resizing.flixster.com/s1u722zlDu4BT4-heDhI1nn_zAQ=/206x305/v2/https://flxt.tmsimg.com/assets/p11657_p_v8_aa.jpg
"Welcome Home, Soldier Boys",1972,NR,NR,Drama,R,1h 31m,https://www.rottentomatoes.com/m/welcome-home-soldier-boys,https://resizing.flixster.com/A9zcOFSvsebPadmOOVE_mg1FiXY=/206x305/v2/https://flxt.tmsimg.com/assets/p45282_p_v8_aa.jpg
Welcome Home Roscoe Jenkins,2008,23,63,Comedy,PG-13,1h 54m,https://www.rottentomatoes.com/m/welcome_home_roscoe_jenkins,https://resizing.flixster.com/b_-3W8EBfSeJR0bZ6Kd-o8lWnCk=/206x305/v2/https://flxt.tmsimg.com/assets/p170972_p_v10_aa.jpg
"Welcome Home, Brother Charles",1975,NR,41,Mystery & thriller/Drama,R,1h 31m,https://www.rottentomatoes.com/m/welcome-home-brother-charles,https://resizing.flixster.com/LWLQRmniiVnU7eQQSd7gY9dWEbg=/206x305/v2/https://flxt.tmsimg.com/assets/p29577_p_v10_aa.jpg
Okaeri,1995,NR,NR,Drama,NR,1h 39m,https://www.rottentomatoes.com/m/okaeri-welcome-home,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Welcome Home,2012,NR,NR,Romance/Drama,NR,1h 13m,https://www.rottentomatoes.com/m/welcome-home,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
"Welcome Home, Roxy Carmichael",1990,44,47,Comedy,PG-13,1h 38m,https://www.rottentomatoes.com/m/welcome_home_roxy_carmichael,https://resizing.flixster.com/eN9Nz8VVA-Fplja1iaGrO4ydUaM=/206x305/v2/https://flxt.tmsimg.com/assets/p12797_v_h9_aa.jpg
The Windmill Massacre,2016,58,22,Horror/Mystery & thriller,NR,1h 25m,https://www.rottentomatoes.com/m/the_windmill_2016,https://resizing.flixster.com/lq0SO6xHpmaSRQY-v10Qh27xfLQ=/206x305/v2/https://resizing.flixster.com/ceLH6JKp1OLuEDjLvnJ4iyoippw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzExOGVkMDRhLWJlMzktNDlhZS1hN2UwLWM4ZDhmYjEwZjY4ZS53ZWJw
Wind River,2017,87,90,Crime/Mystery & thriller,R,1h 51m,https://www.rottentomatoes.com/m/wind_river_2017,https://resizing.flixster.com/ipB3ud26GMye8xLfuihI0vzhF-I=/206x305/v2/https://resizing.flixster.com/VB4D5KwLH-OtpOCp_EpxP-xYOaw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzEwZjNjZGYzLTYwMjItNDAzNC1hMjg4LTM3NWUxZGY5ZTgwMy53ZWJw
The Winding Stream,2014,100,65,Documentary,NR,1h 30m,https://www.rottentomatoes.com/m/the_winding_stream_2014,https://resizing.flixster.com/y48vgpX9T_yDbnSBHg-4PyI2Vvo=/206x305/v2/https://flxt.tmsimg.com/assets/p10750029_p_v10_ab.jpg
The Wind Rises,2013,88,85,History/Anime,PG-13,2h 6m,https://www.rottentomatoes.com/m/the_wind_rises,https://resizing.flixster.com/PJPFgK4NS62DwZVYU_Z_19bcFUI=/206x305/v2/https://flxt.tmsimg.com/NowShowing/132065/132065_aa.jpg
The Windmill Movie,2008,86,67,Documentary,NR,1h 22m,https://www.rottentomatoes.com/m/windmill_movie,https://resizing.flixster.com/uU3I6Hq38xhiM5pf0MDMen1_imU=/206x305/v2/https://flxt.tmsimg.com/assets/p189656_v_h9_aa.jpg
Wind in the Willows,2006,NR,60,Adventure/Fantasy,NR,1h 36m,https://www.rottentomatoes.com/m/the-wind-in-the-willows-2006,https://resizing.flixster.com/irBcRGZwkFjPq-FWe2EeBjdYXyQ=/206x305/v2/https://flxt.tmsimg.com/assets/p165396_p_v10_aa.jpg
The Wind in the Willows,1983,NR,72,Kids & family/Adventure,NR,1h 20m,https://www.rottentomatoes.com/m/the-wind-in-the-willows1983,https://resizing.flixster.com/JJI9pSPTijTgLZm9CQRKsu7pdyw=/206x305/v2/https://flxt.tmsimg.com/assets/p46744_v_h9_aa.jpg
The Wind,1928,100,88,Drama,NR,1h 28m,https://www.rottentomatoes.com/m/1023740-wind,https://resizing.flixster.com/YE3HI9_IxNLUx0j6rQplmQJMGns=/206x305/v2/https://flxt.tmsimg.com/assets/p48760_p_v8_aa.jpg
The Wind,1987,NR,17,Mystery & thriller,NR,1h 33m,https://www.rottentomatoes.com/m/1023748-wind,https://resizing.flixster.com/2Sf1Zs7FgV-N_HPA9CEHar-IfDk=/206x305/v2/https://flxt.tmsimg.com/assets/p10481_p_v8_aa.jpg
The Window,1949,100,76,Mystery & thriller,NR,1h 13m,https://www.rottentomatoes.com/m/1035331-window,https://resizing.flixster.com/G9ujpzpadvqqntK4XCtPkxzOlNM=/206x305/v2/https://flxt.tmsimg.com/assets/p621_v_h9_aa.jpg
The Wind That Shakes the Barley,2006,90,87,History/Drama,NR,2h 6m,https://www.rottentomatoes.com/m/wind_that_shakes_the_barley,https://resizing.flixster.com/2BdxXtpOYtGbSA-hUnJPEFD21xw=/206x305/v2/https://flxt.tmsimg.com/assets/p163570_p_v8_aa.jpg
The Wind Will Carry Us,1999,97,84,Drama,NR,1h 58m,https://www.rottentomatoes.com/m/the_wind_will_carry_us,https://resizing.flixster.com/Iz07BmTKM-XTd9-bR8a8fZR_2Fc=/206x305/v2/https://flxt.tmsimg.com/assets/p25640_v_h6_ac.jpg
The Wind in the Willows,1996,75,61,Kids & family/Fantasy,PG,1h 30m,https://www.rottentomatoes.com/m/the_wind_in_the_willows_1997,https://resizing.flixster.com/g-XC4kWP73A8NtD0xtQVITQTE2o=/206x305/v2/https://flxt.tmsimg.com/assets/p19797_v_h9_aa.jpg
The Wind and the Lion,1975,63,70,Adventure,PG,1h 59m,https://www.rottentomatoes.com/m/wind_and_the_lion,https://resizing.flixster.com/8FQwID-n1K1k2UCGTCWXtAlC0RQ=/206x305/v2/https://flxt.tmsimg.com/assets/p4099_p_v13_ac.jpg
A Mighty Wind,2003,87,75,Comedy,PG-13,1h 30m,https://www.rottentomatoes.com/m/mighty_wind,https://resizing.flixster.com/r-UXw4igeYtkAzFIzFT_eiUYOlI=/206x305/v2/https://flxt.tmsimg.com/NowShowing/34645/34645_aa.jpg
Nausicaä of the Valley of the Wind,1984,89,91,Fantasy/Anime,PG,1h 35m,https://www.rottentomatoes.com/m/nausicaa_of_the_valley_of_the_wind,https://resizing.flixster.com/UCAYqfttX0VDK0seSnifeh5kY9g=/206x305/v2/https://flxt.tmsimg.com/assets/p9311_p_v10_ab.jpg
Gone With the Wind,1939,90,92,History/Romance,G,3h 42m,https://www.rottentomatoes.com/m/gone_with_the_wind,https://resizing.flixster.com/sVDCbFVk_UWeI9CwswwC9UmX2d8=/206x305/v2/https://flxt.tmsimg.com/assets/p5094_p_v10_ax.jpg
Terminator: Dark Fate,2019,70,82,Sci-fi/Action,R,2h 8m,https://www.rottentomatoes.com/m/terminator_dark_fate,https://resizing.flixster.com/-jXJcSumyfXhWXgWJxcExAf0eZk=/206x305/v2/https://resizing.flixster.com/BXbyhNJsjYs5131G6qi4WteuN8I=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVkOGZmNjVhLWI3MWItNGFiMS05MWYyLTM4NmFmM2UyOTMzYy53ZWJw
Terminator Genisys,2015,27,52,Sci-fi/Action,PG-13,2h 6m,https://www.rottentomatoes.com/m/terminator_genisys,https://resizing.flixster.com/wlGIs1vJZ3DjRgCwegG0k6DzPzc=/206x305/v2/https://flxt.tmsimg.com/assets/p10854590_p_v10_af.jpg
Quarantine 2: Terminal,2011,75,34,Sci-fi/Horror,R,1h 26m,https://www.rottentomatoes.com/m/quarantine_2_terminal_2011,https://resizing.flixster.com/Pary7ZMet9uqvYataKZ3ctyI4BI=/206x305/v2/https://flxt.tmsimg.com/assets/p8655164_p_v10_aj.jpg
Terminal Island,1973,NR,23,Action,R,1h 28m,https://www.rottentomatoes.com/m/terminal_island,https://resizing.flixster.com/eEJaDb0c2o30g5ES4AvYvXEn6u4=/206x305/v2/https://flxt.tmsimg.com/assets/p50646_v_h9_aa.jpg
The Terminators,2009,NR,7,Sci-fi/Action,NR,1h 30m,https://www.rottentomatoes.com/m/the-terminators,https://resizing.flixster.com/zZeVB0c24fSsrYboNPaqd7OE2PA=/206x305/v2/https://flxt.tmsimg.com/assets/p3598477_p_v8_aa.jpg
Shocking Dark,1989,NR,22,Sci-fi/Action,NR,1h 30m,https://www.rottentomatoes.com/m/terminator-ii-shocking-dark,https://resizing.flixster.com/PYH2aDKiEEYeA4--DsMFGUCQ5p4=/206x305/v2/https://flxt.tmsimg.com/assets/p12036769_v_h9_aa.jpg
Terminal Invasion,2002,NR,33,Sci-fi/Horror,TVPG,1h 36m,https://www.rottentomatoes.com/m/terminal_invasion,https://resizing.flixster.com/b9ClrJsgq1adWDLtRS-rBMaHoqI=/206x305/v2/https://flxt.tmsimg.com/assets/p30443_v_v10_aa.jpg
Alien Terminator,1995,NR,NR,Horror,NR,1h 35m,https://www.rottentomatoes.com/m/alien_terminator,https://resizing.flixster.com/v1rSNGbr9GYtnIFnCy6ceM6s5Fw=/206x305/v2/https://flxt.tmsimg.com/assets/p18342_v_v9_aa.jpg
Terminator Salvation,2009,33,54,Sci-fi/Action,PG-13,1h 56m,https://www.rottentomatoes.com/m/terminator_4,https://resizing.flixster.com/8ILBKiuZZLUfAQ8eCZxjhZ5BoZ8=/206x305/v2/https://flxt.tmsimg.com/assets/p182955_p_v10_ab.jpg
The Terminal Man,1974,53,43,Sci-fi,PG,1h 47m,https://www.rottentomatoes.com/m/terminal_man,https://resizing.flixster.com/-y7aOQ3p7S8rB4m3g9bI5Mh1E-c=/206x305/v2/https://flxt.tmsimg.com/assets/p1109_p_v8_aa.jpg
Terminal Error,2001,NR,48,Drama,PG-13,1h 40m,https://www.rottentomatoes.com/m/terminal_error,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Ninja Terminator,1985,NR,65,Sports & fitness/Adventure,NR,1h 25m,https://www.rottentomatoes.com/m/ninja-terminator,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Lady Terminator,1989,NR,48,Horror/Action,R,1h 22m,https://www.rottentomatoes.com/m/lady_terminator,https://resizing.flixster.com/HrSnKBL1EDIRAxZDb8SOWFH6nSs=/206x305/v2/https://flxt.tmsimg.com/assets/p51587_p_v8_aa.jpg
The Terminator,1984,100,89,Sci-fi/Mystery & thriller,R,1h 48m,https://www.rottentomatoes.com/m/terminator,https://resizing.flixster.com/PhjJgFNUOSNVB5HQ-P89Myf2S4E=/206x305/v2/https://flxt.tmsimg.com/assets/p7764_p_v8_au.jpg
Terminator 2: Judgment Day,1991,93,94,Sci-fi/Action,R,2h 16m,https://www.rottentomatoes.com/m/terminator_2_judgment_day,https://resizing.flixster.com/rsteoIZDIsR_GNUZqaUe5UXD7OY=/206x305/v2/https://resizing.flixster.com/Dm0V83ItG7HunwWZyin2QeKUkEo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzAwYTE0NjQzLTA3MGQtNDY2Yi1hZjczLTE0YTc0ZWVjMTU2ZS53ZWJw
Terminator 3: Rise of the Machines,2003,69,46,Sci-fi/Action,R,1h 50m,https://www.rottentomatoes.com/m/terminator_3_rise_of_the_machines,https://resizing.flixster.com/OXNPROcyMqdgbPkn3QXG0HE313w=/206x305/v2/https://flxt.tmsimg.com/assets/p32090_p_v10_ac.jpg
Terminal Velocity,1994,19,22,Action,PG-13,1h 42m,https://www.rottentomatoes.com/m/terminal_velocity,https://resizing.flixster.com/5FoQpl4LkgI5VYSEAJsk4TZ8n24=/206x305/v2/https://flxt.tmsimg.com/assets/p16017_p_v8_aa.jpg
The Terminal,2004,61,74,Comedy/Drama,PG-13,2h 8m,https://www.rottentomatoes.com/m/1133499-1133499-terminal,https://resizing.flixster.com/lLgEpXhggXREhgFiuzQp8ffCCQI=/206x305/v2/https://flxt.tmsimg.com/assets/p34621_p_v10_ay.jpg
Kitty Love: An Homage to Cats,2020,NR,NR,Kids & family/Documentary,NR,1h,https://www.rottentomatoes.com/m/kitty_love_an_homage_to_cats,https://resizing.flixster.com/aIDX_ZzNxf65uPvaxyoviLRi-Dg=/206x305/v2/https://resizing.flixster.com/5-7uCDafY7wfg2WMnU-UwqOwhrU=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzNkNjViNDQxLWJiNjMtNDM2Mi04YWE2LTMxMzM5M2UyMGI4ZS5qcGc=
Vampire Academy,2014,16,55,Fantasy/Action,PG-13,1h 44m,https://www.rottentomatoes.com/m/vampire_academy,https://resizing.flixster.com/3PFwl0MvFYF2JC0By-7qQnoTCV0=/206x305/v2/https://flxt.tmsimg.com/assets/p10172818_p_v10_ae.jpg
Awake,2021,29,27,Sci-fi/Mystery & thriller,NR,1h 36m,https://www.rottentomatoes.com/m/awake_2021,https://resizing.flixster.com/sWeyHvg1DV3J4uLLzXVf24y6CFQ=/206x305/v2/https://resizing.flixster.com/Uy-FUDkIj-saZRGZ3PghnD4uSv0=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2MzNDIyY2ViLTM4NTUtNDg1Ny1iYWI4LTg1MDU3YmI1ODIwNS5qcGc=
Tragic Jungle,2020,76,0,Drama/Mystery & thriller,NR,1h 36m,https://www.rottentomatoes.com/m/tragic_jungle,https://resizing.flixster.com/PFPuIyKiE6eEHvzRvvPtKnDSsWQ=/206x305/v2/https://resizing.flixster.com/tONKpgBODvwVwbguOiRqyx-NpF8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzhiY2M1ZWQxLTI4YTYtNDU5Yy04YWI1LTBhMDg0YmEzZDQ2Mi53ZWJw
A Haunted House 2,2014,8,43,Comedy/Horror,R,1h 27m,https://www.rottentomatoes.com/m/a_haunted_house_2,https://resizing.flixster.com/_1FYOUdLk5LtkHFFYSsu1sdBT_U=/206x305/v2/https://flxt.tmsimg.com/assets/p10230629_p_v10_ab.jpg
Awake,2019,14,NR,Mystery & thriller,NR,1h 32m,https://www.rottentomatoes.com/m/awake_2019,https://resizing.flixster.com/zs1da9aFtOHP1puT5X2zgy4piUs=/206x305/v2/https://flxt.tmsimg.com/assets/p17137183_p_v13_aa.jpg
Skater Girl,2021,92,84,Drama,PG,1h 49m,https://www.rottentomatoes.com/m/skater_girl,https://resizing.flixster.com/Kpx6Tu6YT66O8EqvwAHbE-oU1gY=/206x305/v2/https://resizing.flixster.com/1OqQ8D-DSKQgjzbzGiHbJecKb_c=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzRhOTU2MTk1LTEyNzEtNDRiMS1iNjIwLTg0NjMxODVlYzZkOS5qcGc=
Wish Dragon,2021,67,87,Adventure/Kids & family,PG,1h 38m,https://www.rottentomatoes.com/m/wish_dragon,https://resizing.flixster.com/XxzzIqou-E2B0t75kmMnwIWfSjc=/206x305/v2/https://flxt.tmsimg.com/assets/p18531174_p_v13_aa.jpg
Picture a Scientist,2020,NR,NR,Documentary,NR,1h 43m,https://www.rottentomatoes.com/m/picture_a_scientist,https://resizing.flixster.com/PPsBjIpWjZf3irdihsaZZPIlwks=/206x305/v2/https://resizing.flixster.com/UmYHoNZ-5kRcGkMM4zfJZkCJClo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzk0NWZmNzliLTJmYmItNGRkYS05NzM4LTBlMjM0OGQwMWNmNS53ZWJw
The Devil Below,2021,0,13,Horror/Mystery & thriller,NR,,https://www.rottentomatoes.com/m/the_devil_below,https://resizing.flixster.com/BqoY3-gwyJndnqLZcRlnuhMt-Vg=/206x305/v2/https://resizing.flixster.com/ZHv-tYBKrd3TVMbaxRYXlWROpPQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2FhYTA4YjAzLTkxNzAtNDAzYy04MDJkLTdlNjZiNDcwMjcyOC5qcGc=
Beautiful Soul,2011,NR,NR,Documentary,NR,1h 30m,https://www.rottentomatoes.com/m/to_moro_mou_ftanei,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
"Real Fake: The Art, Life & Crimes of Elmyr De Hory",2017,NR,NR,Documentary,NR,1h 25m,https://www.rottentomatoes.com/m/real_fake_the_art_life_and_crimes_of_elmyr_de_hory,https://resizing.flixster.com/WWnXkjqV7GVz2utgmte79SMcNl8=/206x305/v2/https://flxt.tmsimg.com/assets/p14814040_p_v10_aa.jpg
Rogue Warfare: Death of a Nation,2020,NR,NR,Action,R,1h 39m,https://www.rottentomatoes.com/m/rogue_warfare_death_of_a_nation,https://resizing.flixster.com/rOoKFg_0llTLM32MicCtuQB_nhI=/206x305/v2/https://resizing.flixster.com/PN07lG7UseXOc4Ca93ypf843Wok=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2UxNzA3NjViLTZiMTgtNDU4My1iYmRhLTk4Y2ZiZDNhMDhhOC53ZWJw
The Reason I Jump,2020,98,88,Documentary,NR,1h 22m,https://www.rottentomatoes.com/m/the_reason_i_jump,https://resizing.flixster.com/Bx3LuDoFZnwyZVdFMrY9J2yxnTM=/206x305/v2/https://resizing.flixster.com/cTPxkpmpWDB5Q-cwG1hjMh1XUhs=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzNkYjUzMzNmLWFjMDAtNGUwNS04Yjc5LWUyYTQxMDk0NWFkMy5qcGc=
Sir! No Sir!,2005,89,83,Documentary,NR,1h 25m,https://www.rottentomatoes.com/m/sir_no_sir,https://resizing.flixster.com/LWM6vn37h5ricfPoN7iWOiCXiAY=/206x305/v2/https://flxt.tmsimg.com/assets/p90040_p_v10_aa.jpg
The Life and Crimes of Doris Payne,2013,65,74,Documentary,NR,1h 14m,https://www.rottentomatoes.com/m/the_life_and_crimes_of_doris_payne,https://resizing.flixster.com/SNscnPlz6-7P38WLuIxbKhMmFVk=/206x305/v2/https://flxt.tmsimg.com/assets/p10041069_p_v10_aa.jpg
Life of Crime,2013,68,37,Comedy/Crime,R,1h 39m,https://www.rottentomatoes.com/m/life_of_crime_2013,https://resizing.flixster.com/euXuEsg2Bm2WnAk8HEsVWwLMxx8=/206x305/v2/https://flxt.tmsimg.com/assets/p10210268_p_v10_ab.jpg
The Life & Crimes of William Palmer,1998,NR,NR,Mystery & thriller,NR,3h,https://www.rottentomatoes.com/m/life_and_crimes_of_william_palmer,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
The Criminal Life of Archibaldo de la Cruz,1955,91,93,Comedy,NR,1h 31m,https://www.rottentomatoes.com/m/criminal_life_of_archibaldo_de_la_cruz,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
F.T.A.,1972,82,67,Documentary,NR,1h 37m,https://www.rottentomatoes.com/m/fta,https://resizing.flixster.com/-x6hZnGijHNB-wVbOcvwnysPO_E=/206x305/v2/https://resizing.flixster.com/lwCZ_6Up-dcVJEbT_iyRaYnNI9M=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2JjNDkwYTdjLTNkNzEtNGE0Yy04ZDhmLWE1YzcxMWM0OWYzZS5qcGc=
Awaken the Shadowman,2017,NR,69,Horror/Mystery & thriller,NR,1h 23m,https://www.rottentomatoes.com/m/awaken_the_shadowman_2017,https://resizing.flixster.com/DD0gzGRmB0uXS6HvwMcYaVBXRXM=/206x305/v2/https://resizing.flixster.com/Zd9A5km2MXizHGdI8RTTEUlv3Jo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzIyNmE0ZTM4LTc4YzktNDNhZS05YWIxLWQwNGFmOWMxMmUxZi53ZWJw
Awakening the Zodiac,2017,42,33,Mystery & thriller,R,1h 40m,https://www.rottentomatoes.com/m/awakening_the_zodiac,https://resizing.flixster.com/QD0FhnU3p8RP_Jp6Gg9DG0C_5z8=/206x305/v2/https://resizing.flixster.com/T-Sa36fYmVtD2L5cZ8E1X-Dl8PE=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2FlM2YxNWE0LWZmMDUtNGJkZS05OTA3LTFkZmY1ZjFkMzRjMi53ZWJw
Awake: The Life of Yogananda,2014,64,70,Documentary,PG,1h 27m,https://www.rottentomatoes.com/m/awake_the_life_of_yogananda,https://resizing.flixster.com/m_ec9wF1mHHkjDx9TD8sT3xogh0=/206x305/v2/https://flxt.tmsimg.com/assets/p11020597_p_v10_ad.jpg
Awakened,2013,NR,56,Mystery & thriller/Drama,NR,1h 47m,https://www.rottentomatoes.com/m/awakened_2013,https://resizing.flixster.com/KkSourMeeJ3P_4dOlYzMZiXtN_g=/206x305/v2/https://flxt.tmsimg.com/assets/p10582457_p_v10_aa.jpg
Awake Zion,2013,NR,NR,Documentary,NR,1h 5m,https://www.rottentomatoes.com/m/awake_zion_2003,https://resizing.flixster.com/q4mVfHU2oE4z7TQnzocgytJRoXs=/206x305/v2/https://flxt.tmsimg.com/assets/p10644966_v_h9_aa.jpg
