Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
2012: The Odyssey,2007,NR,57,Documentary,NR,1h 39m,https://www.rottentomatoes.com/m/2012-the-odyssey,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
2012: Doomsday,2008,NR,12,Action/Adventure,PG-13,1h 25m,https://www.rottentomatoes.com/m/2012_doomsday,https://resizing.flixster.com/iGTpSS-v2pWs6k4Xg9NUGVXb0to=/206x305/v2/https://flxt.tmsimg.com/assets/p8049661_p_v10_af.jpg
Black Magic for White Boys,2017,80,NR,Comedy,NR,1h 45m,https://www.rottentomatoes.com/m/black_magic_for_white_boys,https://resizing.flixster.com/Cg3k1xvWdm3FkF4He3GvEgwJSRI=/206x305/v2/https://resizing.flixster.com/O74JPoPdXgUT1FtFF9bjJMQOKXU=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzg1MjBhNzQzLTgxNjMtNDk4NS1hMDU4LThmNjhlNWY0M2I3MC53ZWJw
Air Strike,2018,0,12,War/Drama,R,1h 37m,https://www.rottentomatoes.com/m/air_strike_2018,https://resizing.flixster.com/wkZZI0VWo--LvF_UALzmqIrvQEk=/206x305/v2/https://resizing.flixster.com/z30hrvWl_x9frr0hpTAfKGrCBgw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzA3ZmU4MTliLTg5OWQtNDZlZS04YTE0LWY4NDc0NTI3MWRiYi53ZWJw
Concrete Cowboy,2020,81,71,Drama,R,1h 51m,https://www.rottentomatoes.com/m/concrete_cowboy,https://resizing.flixster.com/ZAf-lqmEjK9_Bhgw0KwqcM1hbA0=/206x305/v2/https://resizing.flixster.com/NTlW99SDunKX9ldUzxtKJYQfkKs=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzk2OTZkNDk1LWY1ODYtNGQ2MS05MWRhLWY2NGNkMGY4NjE4Zi5qcGc=
Streams in the Desert: Discovering God's Call,2015,NR,NR,Western/Drama,NR,1h 13m,https://www.rottentomatoes.com/m/streams_in_the_desert_discovering_gods_call,https://resizing.flixster.com/Hs4DQFmYr-tN9ZYfYpk0y2QIqy8=/206x305/v2/https://flxt.tmsimg.com/assets/p13480339_p_v10_aa.jpg
Just Say Yes,2021,NR,23,Romance/Comedy,NR,1h 37m,https://www.rottentomatoes.com/m/just_say_yes,https://resizing.flixster.com/eSrziJCxOYgbl1El3F3oB_fi-Lo=/206x305/v2/https://flxt.tmsimg.com/assets/p19598988_p_v8_ad.jpg
Madame Claude,2021,NR,28,Biography/Drama,NR,1h 52m,https://www.rottentomatoes.com/m/madame_claude_2021,https://resizing.flixster.com/kJMhIV9-fUZbZgyFdECtrgZg1ug=/206x305/v2/https://resizing.flixster.com/XjbF5NsumRbjP6E4oenl6TW8U-I=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzQxNjk0YmJhLTI1ZjMtNDRmZi1iNjI4LWY1NTRlYzk1N2I5NC5qcGc=
Sky High,2020,NR,46,Mystery and thriller/Crime,NR,2h 1m,https://www.rottentomatoes.com/m/sky_high_2021,https://resizing.flixster.com/VvMloQjE95XDu9-MhMkjwnoVSJU=/206x305/v2/https://resizing.flixster.com/sYMfRTcAbdjPcBPg4dNNR4y9FJc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzRhYTFjOTA4LWVmYzAtNGZhOC1hZGJlLWVkOWJmNDBhMTg4My5qcGc=
Escape From Planet Earth,2013,35,54,Comedy/Animation,PG,1h 29m,https://www.rottentomatoes.com/m/escape_from_planet_earth_2013,https://resizing.flixster.com/lhnKLzAkgrzUWCWHCQhnQTvzo0U=/206x305/v2/https://flxt.tmsimg.com/assets/p9416734_p_v10_af.jpg
